net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,PWVvCV,4,absent,0.8,,,
alexnet,transfer,classify,0.001,1,PWVvCV,8,absent,0.775,,,
alexnet,transfer,classify,0.001,1,PWVvCV,1,both,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,2,both,0.9,,,
alexnet,transfer,classify,0.001,1,PWVvCV,4,both,0.73125,,,
alexnet,transfer,classify,0.001,1,PWVvCV,8,both,0.70625,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,1,present,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,2,present,0.825,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,4,present,0.625,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,8,present,0.4375,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,4,absent,0.9625,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,8,absent,0.9,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,1,both,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,2,both,0.9125,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,4,both,0.79375,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,8,both,0.66875,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,present,0.8125,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,present,0.6125,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,present,0.5625,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,present,0.8125,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,absent,0.8125,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,absent,0.675,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,absent,0.5875,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,absent,0.3625,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,both,0.8125,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,both,0.64375,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,both,0.575,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,both,0.5875,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,1,present,1.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,2,present,0.9875,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,4,present,0.875,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,8,present,0.5375,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,1,absent,0.95,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,2,absent,0.9125,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,4,absent,0.8,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,8,absent,0.7625,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,1,both,0.975,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,2,both,0.95,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,4,both,0.8375,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,8,both,0.65,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,1,present,1.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,2,present,0.975,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,4,present,0.975,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,8,present,0.975,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,1,absent,1.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,2,absent,1.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,4,absent,1.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,8,absent,1.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,1,both,1.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,2,both,0.9875,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,4,both,0.9875,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,8,both,0.9875,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,1,present,1.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,2,present,1.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,4,present,0.9,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,8,present,0.6125,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,1,absent,0.9875,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,2,absent,0.9625,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,4,absent,0.8875,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,8,absent,0.8875,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,1,both,0.99375,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,2,both,0.98125,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,4,both,0.89375,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,8,both,0.75,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,1,present,1.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,2,present,0.9625,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,4,present,0.9,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,8,present,0.775,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,1,absent,1.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,2,absent,1.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,4,absent,1.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,8,absent,0.9875,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,1,both,1.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,2,both,0.98125,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,4,both,0.95,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,8,both,0.88125,,,
alexnet,transfer,classify,0.001,1,TvT,1,present,1.0,,,
alexnet,transfer,classify,0.001,1,TvT,2,present,0.9375,,,
alexnet,transfer,classify,0.001,1,TvT,4,present,0.7125,,,
alexnet,transfer,classify,0.001,1,TvT,8,present,0.3875,,,
alexnet,transfer,classify,0.001,1,TvT,1,absent,1.0,,,
alexnet,transfer,classify,0.001,1,TvT,2,absent,0.9875,,,
alexnet,transfer,classify,0.001,1,TvT,4,absent,0.9,,,
alexnet,transfer,classify,0.001,1,TvT,8,absent,0.8,,,
alexnet,transfer,classify,0.001,1,TvT,1,both,1.0,,,
alexnet,transfer,classify,0.001,1,TvT,2,both,0.9625,,,
alexnet,transfer,classify,0.001,1,TvT,4,both,0.80625,,,
alexnet,transfer,classify,0.001,1,TvT,8,both,0.59375,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,present,0.9875,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,present,0.9875,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,present,0.95,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,absent,0.9875,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,absent,0.7625,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,both,1.0,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,both,0.99375,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,both,0.9875,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,both,0.85625,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,present,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,present,0.975,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,present,0.925,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,absent,0.9875,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,absent,0.8375,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,both,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,both,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,both,0.98125,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,both,0.88125,,,
alexnet,transfer,classify,0.001,2,PWVvCV,1,present,1.0,,,
alexnet,transfer,classify,0.001,2,PWVvCV,2,present,0.95,,,
alexnet,transfer,classify,0.001,2,PWVvCV,4,present,0.8375,,,
alexnet,transfer,classify,0.001,2,PWVvCV,8,present,0.6375,,,
alexnet,transfer,classify,0.001,2,PWVvCV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,2,PWVvCV,2,absent,0.85,,,
alexnet,transfer,classify,0.001,2,PWVvCV,4,absent,0.6875,,,
alexnet,transfer,classify,0.001,2,PWVvCV,8,absent,0.825,,,
alexnet,transfer,classify,0.001,2,PWVvCV,1,both,1.0,,,
alexnet,transfer,classify,0.001,2,PWVvCV,2,both,0.9,,,
alexnet,transfer,classify,0.001,2,PWVvCV,4,both,0.7625,,,
alexnet,transfer,classify,0.001,2,PWVvCV,8,both,0.73125,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,1,present,1.0,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,2,present,0.9625,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,4,present,0.8625,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,8,present,0.4875,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,2,absent,0.875,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,4,absent,0.775,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,8,absent,0.75,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,1,both,1.0,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,2,both,0.91875,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,4,both,0.81875,,,
alexnet,transfer,classify,0.001,2,PWVvPWHCV,8,both,0.61875,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,present,0.9625,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,present,0.7125,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,present,0.6125,,,
alexnet,transfer,classify,0.001,2,2_v_5,8,present,0.7625,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,absent,0.6875,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,absent,0.675,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,absent,0.5875,,,
alexnet,transfer,classify,0.001,2,2_v_5,8,absent,0.3,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,both,0.825,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,both,0.69375,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,both,0.6,,,
alexnet,transfer,classify,0.001,2,2_v_5,8,both,0.53125,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,1,present,1.0,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,2,present,1.0,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,4,present,0.85,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,8,present,0.6875,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,1,absent,0.9625,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,2,absent,0.8375,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,4,absent,0.7,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,8,absent,0.6375,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,1,both,0.98125,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,2,both,0.91875,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,4,both,0.775,,,
alexnet,transfer,classify,0.001,2,YT_v_BTYL,8,both,0.6625,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,1,present,1.0,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,2,present,1.0,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,4,present,0.9875,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,8,present,1.0,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,1,absent,1.0,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,2,absent,1.0,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,4,absent,1.0,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,8,absent,1.0,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,1,both,1.0,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,2,both,1.0,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,4,both,0.99375,,,
alexnet,transfer,classify,0.001,2,YT_v_BTBL,8,both,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,1,present,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,2,present,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,4,present,0.875,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,8,present,0.575,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,1,absent,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,2,absent,0.9625,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,4,absent,0.875,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,8,absent,0.9125,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,1,both,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,2,both,0.98125,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,4,both,0.875,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxBo,8,both,0.74375,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,1,present,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,2,present,0.9625,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,4,present,0.9625,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,8,present,0.9625,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,1,absent,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,2,absent,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,4,absent,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,8,absent,0.95,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,1,both,1.0,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,2,both,0.98125,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,4,both,0.98125,,,
alexnet,transfer,classify,0.001,2,Bx_v_RxRo,8,both,0.95625,,,
alexnet,transfer,classify,0.001,2,TvT,1,present,1.0,,,
alexnet,transfer,classify,0.001,2,TvT,2,present,0.9625,,,
alexnet,transfer,classify,0.001,2,TvT,4,present,0.6875,,,
alexnet,transfer,classify,0.001,2,TvT,8,present,0.4125,,,
alexnet,transfer,classify,0.001,2,TvT,1,absent,1.0,,,
alexnet,transfer,classify,0.001,2,TvT,2,absent,1.0,,,
alexnet,transfer,classify,0.001,2,TvT,4,absent,0.95,,,
alexnet,transfer,classify,0.001,2,TvT,8,absent,0.9,,,
alexnet,transfer,classify,0.001,2,TvT,1,both,1.0,,,
alexnet,transfer,classify,0.001,2,TvT,2,both,0.98125,,,
alexnet,transfer,classify,0.001,2,TvT,4,both,0.81875,,,
alexnet,transfer,classify,0.001,2,TvT,8,both,0.65625,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,present,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,present,0.9875,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,present,0.9375,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,absent,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,absent,0.9125,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,both,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,both,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,both,0.99375,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,both,0.925,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,present,0.9875,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,present,0.9625,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,present,0.8875,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,absent,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,absent,0.9,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,both,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,both,0.99375,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,both,0.98125,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,both,0.89375,,,
alexnet,transfer,classify,0.001,3,PWVvCV,1,present,1.0,,,
alexnet,transfer,classify,0.001,3,PWVvCV,2,present,0.9625,,,
alexnet,transfer,classify,0.001,3,PWVvCV,4,present,0.8625,,,
alexnet,transfer,classify,0.001,3,PWVvCV,8,present,0.6375,,,
alexnet,transfer,classify,0.001,3,PWVvCV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,3,PWVvCV,2,absent,0.875,,,
alexnet,transfer,classify,0.001,3,PWVvCV,4,absent,0.65,,,
alexnet,transfer,classify,0.001,3,PWVvCV,8,absent,0.7625,,,
alexnet,transfer,classify,0.001,3,PWVvCV,1,both,1.0,,,
alexnet,transfer,classify,0.001,3,PWVvCV,2,both,0.91875,,,
alexnet,transfer,classify,0.001,3,PWVvCV,4,both,0.75625,,,
alexnet,transfer,classify,0.001,3,PWVvCV,8,both,0.7,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,1,present,1.0,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,2,present,0.9375,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,4,present,0.8,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,8,present,0.6375,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,2,absent,0.9625,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,4,absent,0.875,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,8,absent,0.725,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,1,both,1.0,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,2,both,0.95,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,4,both,0.8375,,,
alexnet,transfer,classify,0.001,3,PWVvPWHCV,8,both,0.68125,,,
alexnet,transfer,classify,0.001,3,2_v_5,1,present,0.9875,,,
alexnet,transfer,classify,0.001,3,2_v_5,2,present,0.8,,,
alexnet,transfer,classify,0.001,3,2_v_5,4,present,0.7375,,,
alexnet,transfer,classify,0.001,3,2_v_5,8,present,0.8375,,,
alexnet,transfer,classify,0.001,3,2_v_5,1,absent,0.4125,,,
alexnet,transfer,classify,0.001,3,2_v_5,2,absent,0.4375,,,
alexnet,transfer,classify,0.001,3,2_v_5,4,absent,0.3125,,,
alexnet,transfer,classify,0.001,3,2_v_5,8,absent,0.2375,,,
alexnet,transfer,classify,0.001,3,2_v_5,1,both,0.7,,,
alexnet,transfer,classify,0.001,3,2_v_5,2,both,0.61875,,,
alexnet,transfer,classify,0.001,3,2_v_5,4,both,0.525,,,
alexnet,transfer,classify,0.001,3,2_v_5,8,both,0.5375,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,1,present,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,2,present,0.9875,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,4,present,0.8875,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,8,present,0.675,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,1,absent,0.9125,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,2,absent,0.8125,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,4,absent,0.7625,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,8,absent,0.725,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,1,both,0.95625,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,2,both,0.9,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,4,both,0.825,,,
alexnet,transfer,classify,0.001,3,YT_v_BTYL,8,both,0.7,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,1,present,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,2,present,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,4,present,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,8,present,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,1,absent,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,2,absent,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,4,absent,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,8,absent,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,1,both,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,2,both,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,4,both,1.0,,,
alexnet,transfer,classify,0.001,3,YT_v_BTBL,8,both,1.0,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,1,present,1.0,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,2,present,1.0,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,4,present,0.925,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,8,present,0.8625,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,1,absent,0.9875,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,2,absent,0.9375,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,4,absent,0.7875,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,8,absent,0.775,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,1,both,0.99375,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,2,both,0.96875,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,4,both,0.85625,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxBo,8,both,0.81875,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,1,present,1.0,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,2,present,0.975,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,4,present,0.9625,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,8,present,0.9625,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,1,absent,1.0,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,2,absent,1.0,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,4,absent,1.0,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,8,absent,0.925,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,1,both,1.0,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,2,both,0.9875,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,4,both,0.98125,,,
alexnet,transfer,classify,0.001,3,Bx_v_RxRo,8,both,0.94375,,,
alexnet,transfer,classify,0.001,3,TvT,1,present,1.0,,,
alexnet,transfer,classify,0.001,3,TvT,2,present,1.0,,,
alexnet,transfer,classify,0.001,3,TvT,4,present,0.8,,,
alexnet,transfer,classify,0.001,3,TvT,8,present,0.625,,,
alexnet,transfer,classify,0.001,3,TvT,1,absent,1.0,,,
alexnet,transfer,classify,0.001,3,TvT,2,absent,0.9875,,,
alexnet,transfer,classify,0.001,3,TvT,4,absent,0.825,,,
alexnet,transfer,classify,0.001,3,TvT,8,absent,0.6625,,,
alexnet,transfer,classify,0.001,3,TvT,1,both,1.0,,,
alexnet,transfer,classify,0.001,3,TvT,2,both,0.99375,,,
alexnet,transfer,classify,0.001,3,TvT,4,both,0.8125,,,
alexnet,transfer,classify,0.001,3,TvT,8,both,0.64375,,,
alexnet,transfer,classify,0.001,4,RVvGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,2,present,0.9875,,,
alexnet,transfer,classify,0.001,4,RVvGV,4,present,0.975,,,
alexnet,transfer,classify,0.001,4,RVvGV,8,present,0.9,,,
