net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,RVvGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,both,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,both,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,both,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,both,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,both,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,both,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,both,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,both,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,1,present,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,2,present,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,2,absent,1.0,,,
