,net_name,method,source_dataset,net_number,set_size,alpha,alpha_cov,beta,beta_cov,threshold_acc,discrim_threshold,log_set_size,log_discrim_threshold
0,alexnet,initialize,None,1,1,0.7000249217900653,9.348922561325465e-11,0.011681409112981229,1.9479200804873e-11,0.75,0.6996996996996997,0.0,-0.1550883124803009
1,alexnet,initialize,None,1,2,0.6931481037779191,2.1018724494114635e-11,0.011942942458751778,2.761614097771793e-12,0.75,0.6926926926926927,0.3010299956639812,-0.15945939376922447
2,alexnet,initialize,None,1,4,0.690109891531999,8.833744379249217e-10,0.016548902736170785,1.6653931850772817e-10,0.75,0.6896896896896897,0.6020599913279624,-0.1613462663183565
3,alexnet,initialize,None,1,8,0.6857408068445016,2.98799655488044e-10,0.015750798379601905,4.1138317418801806e-11,0.75,0.6856856856856857,0.9030899869919435,-0.16387491673355675
4,alexnet,initialize,None,5,1,0.7269021556832043,inf,0.004066748440472677,inf,0.75,0.7267267267267267,0.0,-0.13862886752588863
5,alexnet,initialize,None,5,2,0.7274306106938948,-7.949903312957408e-09,0.004062610286612422,-3.484839059446701e-08,0.75,0.7277277277277278,0.3010299956639812,-0.13803107736694445
6,alexnet,initialize,None,5,4,0.7266685371451603,inf,0.004161892590750811,inf,0.75,0.7267267267267267,0.6020599913279624,-0.13862886752588863
7,alexnet,initialize,None,5,8,0.7250123143655277,4.618271182520778e-10,0.0038180705726805326,2.9479950767324904e-08,0.75,0.7247247247247247,0.9030899869919435,-0.1398269220288354
8,alexnet,initialize,None,6,1,0.6180956540640397,1.162280961665644e-06,0.0031037079256131038,3.785250554655584e-08,0.75,0.6176176176176176,0.0,-0.20928032419274065
9,alexnet,initialize,None,6,2,0.5884195285354237,inf,0.0017392563139177616,inf,0.75,0.5885885885885885,0.3010299956639812,-0.23018816214984383
10,alexnet,initialize,None,6,4,0.6180956540640397,1.162280961665644e-06,0.0031037079256131038,3.785250554655584e-08,0.75,0.6176176176176176,0.6020599913279624,-0.20928032419274065
11,alexnet,initialize,None,6,8,0.6180956540640397,1.162280961665644e-06,0.0031037079256131038,3.785250554655584e-08,0.75,0.6176176176176176,0.9030899869919435,-0.20928032419274065
12,alexnet,initialize,None,7,1,0.7253713502360393,inf,0.0038027574420117245,inf,0.75,0.7257257257257257,0.0,-0.1392274816549886
13,alexnet,initialize,None,7,2,0.724957838288858,inf,0.0037794085786333775,inf,0.75,0.7247247247247247,0.3010299956639812,-0.1398269220288354
14,alexnet,initialize,None,7,4,0.7222876563512172,1.736617731664923e-08,0.016998344577874084,3.100787831011548e-07,0.75,0.7227227227227228,0.6020599913279624,-0.14102829065634315
15,alexnet,initialize,None,7,8,0.7163621946017943,1.0486984287384112e-08,0.014503085217352883,2.5893271894899003e-08,0.75,0.7167167167167167,0.9030899869919435,-0.14465246591812678
16,alexnet,transfer,search stimuli (classify),1,1,0.5300375738877285,4.855109662680518e-05,0.06029673951689439,3.7884490615438234e-05,0.75,0.5305305305305306,0.0,-0.27528961862519324
17,alexnet,transfer,search stimuli (classify),1,2,0.40242507936782124,5.491165289515412e-06,0.03986299587471533,3.5666522346851004e-06,0.75,0.4024024024024024,0.3010299956639812,-0.39533943514151226
18,alexnet,transfer,search stimuli (classify),1,4,0.4094582943863725,5.823961496936679e-06,0.042347634841953,3.900114301117325e-06,0.75,0.4094094094094094,0.6020599913279624,-0.38784218021864053
19,alexnet,transfer,search stimuli (classify),1,8,0.4135367864070313,2.7963966961305e-06,0.03970629832665124,1.775657872702856e-06,0.75,0.4134134134134134,0.9030899869919435,-0.3836154365695813
20,alexnet,transfer,search stimuli (classify),2,1,0.5417236222199449,5.558221858291782e-05,0.05941677529177953,4.3655612551547295e-05,0.75,0.5415415415415415,0.0,-0.2663682231194129
21,alexnet,transfer,search stimuli (classify),2,2,0.40462766469297595,6.440433029493279e-06,0.04157645672367417,4.28900744104776e-06,0.75,0.4044044044044044,0.3010299956639812,-0.39318412311537737
22,alexnet,transfer,search stimuli (classify),2,4,0.4069654587168984,1.1816132645824155e-05,0.04392137969618366,8.15738089529302e-06,0.75,0.4074074074074074,0.6020599913279624,-0.3899710790007623
23,alexnet,transfer,search stimuli (classify),2,8,0.40972967181600634,3.0598724957357493e-06,0.039339041733741385,1.9117635547125307e-06,0.75,0.4094094094094094,0.9030899869919435,-0.38784218021864053
24,alexnet,transfer,search stimuli (classify),3,1,0.5468338840456104,6.0921562779497214e-05,0.0563531350273804,4.8206078803773395e-05,0.75,0.5465465465465466,0.0,-0.26237284552124507
25,alexnet,transfer,search stimuli (classify),3,2,0.40247930942305954,7.748866641695859e-06,0.04214900853474064,5.266709382362524e-06,0.75,0.4024024024024024,0.3010299956639812,-0.39533943514151226
26,alexnet,transfer,search stimuli (classify),3,4,0.40911872894143786,8.238600632788516e-06,0.042252754048040776,5.507526943680341e-06,0.75,0.4094094094094094,0.6020599913279624,-0.38784218021864053
27,alexnet,transfer,search stimuli (classify),3,8,0.41594318261839874,2.8796929971311606e-06,0.03944334381985004,1.837253350339065e-06,0.75,0.4164164164164164,0.9030899869919435,-0.3804721575992396
28,alexnet,transfer,search stimuli (classify),4,1,0.5197983031254214,7.42085985900454e-05,0.06739905358774688,5.7627010664914965e-05,0.75,0.5195195195195195,0.0,-0.2843981303775245
29,alexnet,transfer,search stimuli (classify),4,2,0.39329485983177076,5.1999264057020835e-06,0.037810925054369116,3.6105344593276804e-06,0.75,0.3933933933933934,0.3010299956639812,-0.4051729378505556
30,alexnet,transfer,search stimuli (classify),4,4,0.4048478477984415,9.29034625423222e-06,0.042580000757305,6.300913745048307e-06,0.75,0.4044044044044044,0.6020599913279624,-0.39318412311537737
31,alexnet,transfer,search stimuli (classify),4,8,0.40140709642547007,2.210119565325045e-06,0.03587645895722078,1.3014322044680084e-06,0.75,0.4014014014014014,0.9030899869919435,-0.3964211156058
32,alexnet,transfer,search stimuli (classify),5,1,0.516989694691623,5.296358129334825e-05,0.06370360033820023,4.10384413608446e-05,0.75,0.5165165165165165,0.0,-0.2869157865987709
33,alexnet,transfer,search stimuli (classify),5,2,0.3972636891476683,3.947283554028641e-06,0.03808164481961473,2.5944725710340702e-06,0.75,0.3973973973973974,0.3010299956639812,-0.4007749814628673
34,alexnet,transfer,search stimuli (classify),5,4,0.40316378993777474,8.437891951712262e-06,0.04195286649729917,5.695693089235659e-06,0.75,0.4034034034034034,0.6020599913279624,-0.3942604420848729
35,alexnet,transfer,search stimuli (classify),5,8,0.4170273845257889,4.508517083770866e-06,0.04162828428469097,3.032689413089335e-06,0.75,0.4174174174174174,0.9030899869919435,-0.37942943325222483
36,alexnet,transfer,search stimuli (classify),6,1,0.54321310840763,5.029873076639938e-05,0.057297099412939395,3.969360183385462e-05,0.75,0.5435435435435435,0.0,-0.2647656586371354
37,alexnet,transfer,search stimuli (classify),6,2,0.4129051034313983,6.986306478271996e-06,0.04337013714426801,4.780656008133544e-06,0.75,0.4124124124124124,0.3010299956639812,-0.3846682721928477
38,alexnet,transfer,search stimuli (classify),6,4,0.4130014819126435,6.625181768563708e-06,0.04353903671069323,4.5472426987240615e-06,0.75,0.4134134134134134,0.6020599913279624,-0.3836154365695813
39,alexnet,transfer,search stimuli (classify),6,8,0.44644430989120815,7.571563936201654e-07,0.041120620000879085,6.872510699574275e-07,0.75,0.44644644644644643,0.9030899869919435,-0.35023062951384043
40,alexnet,transfer,search stimuli (classify),7,1,0.5315323456414841,7.52846259786848e-05,0.06324816886723075,5.868872495030149e-05,0.75,0.5315315315315315,0.0,-0.27447096714451324
41,alexnet,transfer,search stimuli (classify),7,2,0.4097039735171694,6.102363925613059e-06,0.04179575767721596,4.0412425078128786e-06,0.75,0.4094094094094094,0.3010299956639812,-0.38784218021864053
42,alexnet,transfer,search stimuli (classify),7,4,0.41372715004638,6.128769459377855e-06,0.04283708262993138,4.162410418246345e-06,0.75,0.4134134134134134,0.6020599913279624,-0.3836154365695813
43,alexnet,transfer,search stimuli (classify),7,8,0.4197484096698102,2.576972991818332e-06,0.03953090586998261,1.6951678718427282e-06,0.75,0.4194194194194194,0.9030899869919435,-0.377351465259687
44,alexnet,transfer,search stimuli (classify),8,1,0.5419914911107413,4.762001841431592e-05,0.057767640065691454,3.7527273696974225e-05,0.75,0.5415415415415415,0.0,-0.2663682231194129
45,alexnet,transfer,search stimuli (classify),8,2,0.40766649564544555,4.3890219324177035e-06,0.04059458575121514,2.835930559810067e-06,0.75,0.4074074074074074,0.3010299956639812,-0.3899710790007623
46,alexnet,transfer,search stimuli (classify),8,4,0.4132510483021858,7.805022188153283e-06,0.04344507047078615,5.3512336671229764e-06,0.75,0.4134134134134134,0.6020599913279624,-0.3836154365695813
47,alexnet,transfer,search stimuli (classify),8,8,0.41854059204837885,2.8606921288798307e-06,0.03992153123103976,1.8781134354333166e-06,0.75,0.4184184184184184,0.9030899869919435,-0.3783892064509471
48,alexnet,transfer,ImageNet,1,1,0.3700625807264391,7.704653141984728e-05,0.016980295786280783,0.0006169012986122925,0.75,0.37037037037037035,0.0,-0.43136376415898736
49,alexnet,transfer,ImageNet,1,2,0.48353925058511066,8.937427375529786e-06,0.03164499643420136,5.519570686505841e-06,0.75,0.48348348348348347,0.3010299956639812,-0.3156183574744702
50,alexnet,transfer,ImageNet,1,4,0.49373682371321476,4.0537257859376004e-05,0.06268946529818328,3.127678777544922e-05,0.75,0.4934934934934935,0.6020599913279624,-0.3067185689487523
51,alexnet,transfer,ImageNet,1,8,0.62308594711353,0.00011703131713976081,0.13736280850917554,9.627615239628756e-05,0.75,0.6226226226226226,0.9030899869919435,-0.20577510353516362
52,alexnet,transfer,ImageNet,2,1,0.4006513351963097,0.0004564027532301127,0.02403694119387817,0.00015355274119155312,0.75,0.40040040040040037,0.0,-0.39750549689801995
53,alexnet,transfer,ImageNet,2,2,0.5006714941568347,2.4742249435286937e-05,0.034481391989986315,1.3113419714693306e-05,0.75,0.5005005005005005,0.3010299956639812,-0.3005954838899635
54,alexnet,transfer,ImageNet,2,4,0.5706218063242067,0.00019596543077165892,0.09352077234043032,0.00015344605921731276,0.75,0.5705705705705706,0.6020599913279624,-0.24369063255349088
55,alexnet,transfer,ImageNet,2,8,0.7995231037372434,5.9008197739742164e-05,0.12943494127852143,5.597930315053009e-05,0.75,0.7997997997997998,0.9030899869919435,-0.09701870891199094
56,alexnet,transfer,ImageNet,3,1,0.44930303875738875,0.00017391018119605032,0.02032899048066972,0.0010260231053145033,0.75,0.4494494494494494,0.0,-0.34731914722265916
57,alexnet,transfer,ImageNet,3,2,0.8539091879956602,0.00010217846146268234,0.13694440544677167,0.00010832122548549355,0.75,0.8538538538538538,0.3010299956639812,-0.0686164570584593
58,alexnet,transfer,ImageNet,3,4,0.994271359690968,0.0005523769763219001,0.24795292291531265,0.0005047918170109325,0.75,0.993993993993994,0.6020599913279624,-0.0026162397306011224
59,alexnet,transfer,ImageNet,3,8,0.9512725757770768,0.0012522966205753094,0.292858383938095,0.0012821363382202226,0.75,0.950950950950951,0.9030899869919435,-0.021841882937134544
60,alexnet,transfer,ImageNet,4,1,0.3956960826811899,0.0007466726656386345,0.020492448599922906,0.00025601575000114995,0.75,0.39539539539539537,0.0,-0.4029683925995221
61,alexnet,transfer,ImageNet,4,2,0.5000900415485002,1.0573940809750397e-05,0.03133404238912348,4.832547295668047e-06,0.75,0.5005005005005005,0.3010299956639812,-0.3005954838899635
